RPM\Load,0.20,0.30,0.50,0.60,0.70,0.80,0.90,1.00,1.10,1.20,1.30,1.50,1.75,2.00,2.25,2.50,3.50,4.00
1000,,,,,,,,,,,,,,,,,,
1100,,,,,,,,,,,,,,,,,,
1350,,,,,,,,,,,,,,,,,,
1600,+1.50,+1.50,,,,,,,,,,,,,,,,
1900,+1.50,+1.25,,,,,,,,,,,,,,,,
2200,-0.50,-0.50,,,,,,,,,,,,,,,,
2500,,-0.50,,,,,,,,,,,,,,,,
2800,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
3400,,,,,,,,,,,,,,,,,,
3800,,,,,,,,,,,,,,,,,,
4150,,,,,,,,,,,,,,,,,,
4450,,,,,,,,,,,,,,,,,,
4750,,,,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,,,,
5500,,,,,,,,,,,,,,,,,,
